id;name;sector;country;type
uvdl;Ursula von der Leyen;1;Belgien;1
lk;Lars Klingbeil;1;Deutschland;1
cl;Christian Lindner;1;Deutschland;1
ks;Karl Schl波el;3;Deutschland;1
fh;F］fhundert;0;NA;2
fhe;F］fhunderteins;0;NA;2
cdu;CDU;0;Deutschland;3
spd;SPD;0;Deutschland;3
fdp;FDP;0;Deutschland;3
nr;Norbert R杯tgen;1;Deutschland;1
sw;Sahra Wagenknecht;1;Deutschland;1
lm;Ljudmyla Melnyk;3;Ukraine;1
kd;Kristina Dunz;2;Deutschland;1
rh;Robert Habeck;1;Deutschland;1
cm;Claudia Major;3;Deutschland;1
kp;Katja Petrowskaja;2;Deutschland;1
rk;Roderich Kiesewetter;1;Deutschland;1
cl;Christine Lambrecht;1;Deutschland;1
al;Alexander Lambsdorff;1;Deutschland;1
sb;Stefanie Babst;3;USA;1
ch;Chrsitoph Heusgen;3;Deutschland;1
mw;Marina Weisband;2;Ukraine;1
os;Olaf Scholz;1;Deutschland;1
fhz;F］fhundertzwei;0;NA;2
fhd;F］fhundertdrei;0;NA;2
fhv;F］fhundertvier;0;NA;2
fhf;F］fhundertf］f;0;NA;2
dg;Die Gr］en;0;Deutschland;3
dl;Die Linke;0;Deutschland;3
ab;Annalena Baerbock;1;Deutschland;1
ft;Frans Timmermans;1;Deutschland;1
am;Andrij Melnyk;1;Ukraine;1
